buyer_id,name,email,password,contact_number,location,registration_date,status,purchase_history
7a931afc-7cc5-4392-b402-bc5dd5434b9c,Ika Hidayat,kusada@yahoo.com,A0%iZaP(+t,+62-126-4090-8064,Tebingtinggi,2020-09-09 06:43:10,Inactive,1.55
ae59f6ae-e8b2-44ac-aef8-dee9e5d5b710,Hamima Hastuti,lantarputra@gmail.com,j!Nt2PWb%_,+62-843-8057-2539,Samarinda,1998-08-12 00:32:30,Inactive,3.87
bda7b0f3-1b80-43bd-8df7-be74dff0a0ba,Zamira Hartati,pratamaian@hotmail.com,&kZYqX*yF2,+62-726-5951-3657,Batam,2004-03-18 01:45:17,Active,2.94
814111fa-ab1f-45f9-80c0-4732492475e1,Virman Permata,sinagalabuh@hotmail.com,#HehHM!j0),+62-717-2880-8240,Salatiga,1993-07-19 04:04:31,Inactive,2.66
3154db0a-77ef-431e-8644-0fd5f1c1e002,Darmanto Sitorus,cakrawala60@yahoo.com,zQY3C)hp%r,+62-729-9141-6091,Surakarta,1993-08-29 13:28:36,Active,3.16
16b7979f-825d-458d-9ead-3ca2415e48ec,Rusman Sihombing,zpuspasari@hotmail.com,D02lA0tl(g,+62-904-8048-7869,Kota Administrasi Jakarta Barat,2015-09-29 13:17:47,Inactive,3.02
c55a02bd-57fb-4380-bd65-d0f9f631e29f,Shania Widiastuti,safinayolanda@yahoo.com,I3J_thkO(b,+62-165-8551-7152,Jayapura,1990-09-27 19:56:55,Active,4.19
cd7da8a1-358b-4d2f-a3d5-6c3483968002,Edison Maulana,maryadidaruna@gmail.com,(Wt5B3km#y,+62-215-2976-2805,Gorontalo,1988-05-19 03:32:51,Active,3.09
8a9bfecb-8b64-4c8c-8d92-fd86e5317352,Wage Rahimah,bahuwarnanasyiah@gmail.com,$@W4BXfc(r,+62-296-7315-6076,Sibolga,2004-07-28 02:21:04,Active,3.91
6578101d-6912-4433-ad17-620d3b5ce5dc,"KH. Okta Wijaya, M.M.",damanikirfan@gmail.com,T025ApqZ_C,+62-441-7103-1079,Palangkaraya,2003-11-22 17:25:57,Inactive,2.91
72dabc68-37d4-432e-b59f-c3701d134ac6,"T. Rafid Yolanda, S.Pt",novitasaripatricia@gmail.com,xxLb2mBNx),+62-130-5686-2099,Sungai Penuh,1985-03-15 22:26:15,Active,1.4
