seller_id,name,email,password,contact_number,location,registration_date,status,rating,number_of_sales
79ea27ce-d211-4fe0-a055-bddcacf34eb0,KH. Ivan Nashiruddin,makara33@gmail.com,E#(7JRSX3j,+62-374-1149-6695,Malang,1975-11-19 01:55:19,Active,2.21,47
15c4645f-b7a6-44a1-8f43-0dbfd9f86229,Gadang Handayani,safitricahya@hotmail.com,r66RKlPwY#,+62-293-6335-4091,Tangerang Selatan,2014-09-24 23:30:40,Active,3.57,3
8f1e9b11-dff6-4692-a0d3-8f2ec631aabb,Hafshah Haryanto,pratamamariadi@hotmail.com,&#8n0MJsct,+62-212-8735-8060,Makassar,1997-03-28 13:42:20,Inactive,2.09,69
d53ba1b4-6ad5-4780-aaef-d22ad3dfb668,Rafid Uyainah,uwaisrafi@yahoo.com,tnIc2NPj(k,+62-842-9366-7979,Singkawang,1980-07-27 09:12:36,Inactive,3.23,32
e5f17f3e-7aa5-4019-890d-588915c7b3fb,Taswir Zulaika,hrajata@yahoo.com,HH_W63YdLO,+62-456-5998-9123,Gorontalo,2005-07-05 21:50:07,Active,4.53,26
84ccedbe-2f0c-4bdc-82d6-ae155f593181,Kiandra Rajasa,lpurwanti@yahoo.com,o7TIxYp)!x,+62-548-2030-6979,Semarang,1989-06-09 20:49:04,Active,3.66,97
70fe55d4-6e34-4084-a475-cf9f60793f7c,Aisyah Nasyidah,radikahariyah@yahoo.com,aZiu8Fy1q%,+62-900-6176-7293,Ternate,2008-04-16 20:00:20,Active,1.19,59
14316c16-d822-4cda-906a-c35f908aaf3b,Jelita Kuswandari,mala45@gmail.com,khZ57dGe!5,+62-485-5831-6948,Pematangsiantar,2018-05-23 03:56:58,Active,1.83,66
87d1520c-9b9d-4916-b975-5149b1920c00,Bajragin Mahendra,cawuk45@hotmail.com,I7pO9ndn_!,+62-961-7299-6602,Ambon,2019-12-21 12:47:55,Inactive,1.21,91
f45225de-178a-4f8f-99cd-2462c76e232c,Hardi Nasyidah,prastutiqori@gmail.com,&5(WOaox@^,+62-872-1308-5649,Metro,1989-03-23 16:08:18,Active,1.57,9
8d930fe3-c87e-46ed-97db-584cda27406f,Dariati Andriani,jumariwijayanti@gmail.com,D52Hh)Wj)7,+62-775-3277-1840,Palembang,2016-03-24 13:10:29,Active,4.07,1
fe885cda-c53c-462b-ad4f-f5d904f25902,Nadia Wahyuni,qnatsir@hotmail.com,U0162MJb*e,+62-927-2763-6099,Dumai,2023-07-31 13:43:01,Active,4.49,65
46b26baf-d71d-47fb-b35c-63647ed86921,"Sakura Hasanah, S.E.",kuswoyodagel@yahoo.com,NKTVvsRp+4,+62-387-3437-5748,Sorong,1978-11-19 06:19:10,Active,2.63,5
90d18a56-4a67-462f-b94e-78f751a8e233,Yulia Permadi,hardimarpaung@gmail.com,W*!5L&r(y7,+62-289-7743-5330,Bengkulu,1996-05-16 02:07:37,Active,2.36,74
407d5031-1f4b-4ae8-8774-94bc52ff1954,Cemplunk Palastri,amiwibowo@gmail.com,2V%0OTkeL+,+62-709-3351-5838,Bukittinggi,2001-12-22 21:48:10,Inactive,2.12,44
5329dee0-0cc4-4009-9b34-9da878f37881,Ayu Dongoran,xpranowo@hotmail.com,6(26IWg1PJ,+62-404-8570-2566,Mojokerto,1996-03-12 04:03:35,Active,4.72,86
611fd0d9-b396-42dd-a844-54b994e0c00a,"Ikin Oktaviani, S.Ked",jelitasihombing@yahoo.com,f(7BqXy^L(,+62-841-2521-3219,Kota Administrasi Jakarta Utara,1986-10-11 00:58:00,Inactive,4.34,83
3a0e928c-269f-4216-a6e8-7ee6c73914e7,Yunita Rajata,ihardiansyah@yahoo.com,w1K0d_WM*m,+62-193-7880-1441,Surakarta,1983-03-08 02:09:59,Active,2.06,82
9c15097a-f3e1-4a5f-ae4b-fc50ca99c064,"Drajat Permadi, S.Psi",handayanidalima@hotmail.com,)qIjGgHI$9,+62-869-9967-9896,Serang,1976-02-29 06:03:49,Inactive,3.29,10
d5bff97e-3776-4385-8e0d-38cf4add7728,Michelle Maulana,tyuniar@yahoo.com,xvm6Zn&^8*,+62-377-1960-7487,Lubuklinggau,1979-11-19 02:18:27,Inactive,4.04,24
3badc8fe-7bc7-4b61-acbb-822aff56046c,Tgk. Nasab Hakim,jsudiati@yahoo.com,e_8LPzbx$a,+62-373-3144-9971,Bekasi,2015-02-28 23:28:12,Active,3.94,21
87e00a46-ed7f-48e1-a875-847463e7bbf9,Rina Pertiwi,muni02@hotmail.com,(5eXXuK!)f,+62-447-1656-7596,Ambon,1990-02-26 14:29:11,Active,3.61,39
c7f4c92a-5130-43d6-a7ee-8f279d24c0c9,Dt. Xanana Hidayanto,xpradana@yahoo.com,Bf8QXYf7Q$,+62-402-3408-4406,Tomohon,2021-02-12 23:00:18,Active,1.93,36
